BL8 4GT,"Apartment 24, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 10, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 17, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 12, Hawkshaw Lodge, Kerry Hill, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 11, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 4, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 15, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GT,"Apartment 14, Hawkshaw Lodge, Kerry Hill, Bury, Greater Manchester",-1
BL8 4GZ,"2 Hawkshaw Close, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GZ,"6 Hawkshaw Close, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GZ,"4 Hawkshaw Close, Hawkshaw, Bury, Greater Manchester",-1
BL8 4GZ,"8 Hawkshaw Close, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HG,"14 Tor Avenue, Greenmount, Bury, Greater Manchester",5 
BL8 4HZ,"21 Bolton Road, Hawkshaw, Bury, Greater Manchester",4 
BL8 4HB,"427 Holcombe Road, Greenmount, Bury, Greater Manchester",4 
BL8 4HA,"17 Greenmount Drive, Greenmount, Bury, Greater Manchester",-1
BL8 4HQ,"13 Andrew Close, Greenmount, Bury, Greater Manchester",3 
BL8 4HD,"2 Holhouse Lane, Greenmount, Bury, Greater Manchester",5 
BL8 4HG,"7 Tor Avenue, Greenmount, Bury, Greater Manchester",-1
BL8 4HZ,"Greylands, Bolton Road, Hawkshaw, Bury, Greater Manchester",-1
BL8 4HB,"423 Holcombe Road, Greenmount, Bury, Greater Manchester",-1
BL8 4HP,"Long Barn, Hollymount Lane, Greenmount, Bury, Greater Manchester",-1
BL8 4HP,"Old Barn, Hollymount Lane, Greenmount, Bury, Greater Manchester",-1
